Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.12 01:01:01;Sell Stop;0.06;USDJPY.i;131.737;132.000;129.214;2022.08.12 22:00:01;133.492;;;;cancelled
2022.08.12 19:16:19;Buy Stop;0.05;USDJPY.i;133.894;133.581;137.345;2022.08.12 22:00:00;133.489;;;;cancelled
2022.08.12 01:01:00;Sell Stop;0.06;USDJPY.i;131.737;132.000;129.214;2022.08.12 22:00:00;133.488;;;;cancelled
2022.08.12 00:05:04;Sell Stop;0.03;USDJPY.i;132.074;132.356;102.954;2022.08.12 20:59:02;133.454;;;;cancelled
2022.08.12 19:16:19;Buy Stop;0.03;USDJPY.i;133.894;133.612;166.102;2022.08.12 20:59:01;133.454;;;;cancelled
2022.08.12 16:25:07;Buy Stop;0.03;USDJPY.i;133.894;133.612;168.406;2022.08.12 20:59:01;133.455;;;;cancelled
2022.08.12 00:05:03;Sell Stop;0.03;USDJPY.i;132.074;132.356;102.954;2022.08.12 20:59:01;133.454;;;;cancelled
2022.08.12 00:05:01;Sell Stop;0.03;USDJPY.i;131.737;131.993;106.505;2022.08.12 20:59:01;133.455;;;;cancelled
2022.08.12 00:05:00;Sell Stop;0.03;USDJPY.i;131.737;131.993;106.505;2022.08.12 20:59:00;133.455;;;;cancelled
2022.08.12 19:16:18;Balance;;;;;;;;;;0.15;
2022.08.12 19:16:18;Balance;;;;;;;;;;0.09;
2022.08.12 13:13:41;Buy;0.05;USDJPY.i;133.495;133.528;136.310;2022.08.12 19:16:18;133.528;-0.35;;1.24;[sl]
2022.08.12 03:26:16;Buy;0.03;USDJPY.i;133.315;133.528;158.546;2022.08.12 19:16:18;133.528;-0.21;;4.79;[sl]
2022.08.12 16:25:07;Balance;;;;;;;;;;0.09;
2022.08.12 03:26:16;Buy;0.03;USDJPY.i;133.315;133.528;158.546;2022.08.12 16:25:07;133.530;-0.21;;4.83;[sl]
2022.08.12 07:20:22;Balance;;;;;;;;;;0.15;
2022.08.12 03:37:33;Buy;0.05;USDJPY.i;133.427;133.141;136.136;2022.08.12 07:20:22;133.123;-0.35;;-11.42;[sl]
2022.08.11 15:35:37;Sell Stop;0.05;USDJPY.i;131.737;132.024;126.028;2022.08.11 22:00:01;132.933;;;;cancelled
2022.08.11 01:01:01;Buy Stop;0.08;USDJPY.i;135.305;135.096;140.543;2022.08.11 22:00:01;132.941;;;;cancelled
2022.08.11 01:01:00;Buy Stop;0.08;USDJPY.i;135.305;135.096;140.543;2022.08.11 22:00:00;132.929;;;;cancelled
2022.08.11 00:24:03;Buy Stop;0.03;USDJPY.i;133.314;133.014;158.546;2022.08.11 20:59:02;133.015;;;;cancelled
2022.08.11 17:12:12;Sell Stop;0.03;USDJPY.i;131.737;132.037;78.329;2022.08.11 20:59:01;133.015;;;;cancelled
2022.08.11 17:12:11;Sell Stop;0.03;USDJPY.i;131.737;132.037;78.329;2022.08.11 20:59:01;133.016;;;;cancelled
2022.08.11 00:24:02;Buy Stop;0.03;USDJPY.i;133.314;133.014;158.546;2022.08.11 20:59:01;133.015;;;;cancelled
2022.08.11 00:24:01;Buy Stop;0.03;USDJPY.i;135.305;135.046;187.689;2022.08.11 20:59:01;133.015;;;;cancelled
2022.08.11 00:24:00;Buy Stop;0.03;USDJPY.i;135.305;135.046;187.689;2022.08.11 20:59:00;133.017;;;;cancelled
2022.08.11 17:12:13;Balance;;;;;;;;;;0.09;
2022.08.11 17:12:13;Balance;;;;;;;;;;0.09;
2022.08.11 15:23:05;Sell;0.03;USDJPY.i;132.014;132.301;79.647;2022.08.11 17:12:13;132.301;-0.21;;-6.51;[sl]
2022.08.11 15:23:05;Sell;0.03;USDJPY.i;132.011;132.301;79.647;2022.08.11 17:12:13;132.301;-0.21;;-6.58;[sl]
2022.08.11 17:12:10;Balance;;;;;;;;;;0.09;
2022.08.11 17:12:10;Balance;;;;;;;;;;0.09;
2022.08.11 15:23:05;Sell;0.03;USDJPY.i;132.014;132.290;79.647;2022.08.11 17:12:10;132.288;-0.21;;-6.21;[sl]
2022.08.11 15:23:05;Sell;0.03;USDJPY.i;132.011;132.290;79.647;2022.08.11 17:12:10;132.288;-0.21;;-6.28;[sl]
2022.08.11 15:35:37;Balance;;;;;;;;;;0.21;
2022.08.11 15:35:37;Balance;;;;;;;;;;0.21;
2022.08.11 15:23:05;Sell;0.07;USDJPY.i;132.014;132.259;126.793;2022.08.11 15:35:37;132.265;-0.49;;-13.28;[sl]
2022.08.11 15:23:05;Sell;0.07;USDJPY.i;132.011;132.259;126.793;2022.08.11 15:35:37;132.265;-0.49;;-13.44;[sl]
2022.08.10 18:39:01;Sell Stop;0.06;USDJPY.i;132.031;132.299;126.793;2022.08.10 22:00:00;132.868;;;;cancelled
2022.08.10 04:57:53;Buy Stop;0.14;USDJPY.i;135.305;135.191;136.319;2022.08.10 22:00:00;132.873;;;;cancelled
2022.08.10 18:42:45;Sell Stop;0.02;USDJPY.i;132.031;132.349;79.647;2022.08.10 20:59:01;132.582;;;;cancelled
2022.08.10 06:43:42;Buy Stop;0.03;USDJPY.i;135.305;135.064;145.449;2022.08.10 20:59:01;132.582;;;;cancelled
2022.08.10 19:03:34;Sell Stop;0.02;USDJPY.i;132.031;132.349;79.647;2022.08.10 20:59:00;132.583;;;;cancelled
2022.08.10 06:43:41;Buy Stop;0.03;USDJPY.i;135.305;135.064;145.449;2022.08.10 20:59:00;132.581;;;;cancelled
2022.08.10 19:03:34;Balance;;;;;;;;;;0.09;
2022.08.10 16:58:49;Sell;0.03;USDJPY.i;132.682;132.653;90.731;2022.08.10 19:03:34;132.653;-0.21;;0.66;[sl]
2022.08.10 18:42:44;Balance;;;;;;;;;;0.09;
2022.08.10 16:58:49;Sell;0.03;USDJPY.i;132.682;132.626;90.731;2022.08.10 18:42:44;132.625;-0.21;;1.29;[sl]
2022.08.10 18:39:01;Balance;;;;;;;;;;0.21;
2022.08.10 16:58:49;Sell;0.07;USDJPY.i;132.683;132.603;128.488;2022.08.10 18:39:01;132.606;-0.49;;4.06;[sl]
2022.08.10 15:33:07;Balance;;;;;;;;;;0.24;
2022.08.10 15:30:19;Sell;0.08;USDJPY.i;133.494;133.367;130.734;2022.08.10 15:33:07;133.360;-0.56;;8.04;[sl]
2022.08.10 15:30:06;Balance;;;;;;;;;;0.27;
2022.08.10 15:30:05;Sell;0.09;USDJPY.i;133.547;;;2022.08.10 15:30:06;133.626;-0.63;;-5.32;
2022.08.10 15:30:03;Balance;;;;;;;;;;0.12;
2022.08.10 15:30:03;Balance;;;;;;;;;;0.48;
2022.08.10 15:30:03;Balance;;;;;;;;;;0.12;
2022.08.10 15:30:03;Balance;;;;;;;;;;0.48;
2022.08.10 15:30:02;Sell;0.16;USDJPY.i;134.044;134.777;133.820;2022.08.10 15:30:03;134.119;-1.12;;-8.95;
2022.08.10 15:30:02;Sell;0.16;USDJPY.i;134.044;134.777;133.820;2022.08.10 15:30:03;133.939;-1.12;;12.54;
2022.08.10 15:30:02;Sell;0.04;USDJPY.i;134.044;134.906;126.159;2022.08.10 15:30:03;133.939;-0.28;;3.14;
2022.08.10 15:30:02;Sell;0.04;USDJPY.i;134.044;134.906;126.159;2022.08.10 15:30:03;134.119;-0.28;;-2.24;
2022.08.10 15:29:45;Balance;;;;;;;;;;0.12;
2022.08.10 15:29:45;Balance;;;;;;;;;;0.12;
2022.08.10 15:09:12;Sell;0.04;USDJPY.i;134.710;134.960;125.326;2022.08.10 15:29:45;134.958;-0.28;;-7.35;[sl]
2022.08.10 15:09:12;Sell;0.04;USDJPY.i;134.710;134.960;125.326;2022.08.10 15:29:45;134.958;-0.28;;-7.35;[sl]
2022.08.10 06:43:40;Balance;;;;;;;;;;0.08;
2022.08.10 06:43:40;Balance;;;;;;;;;;0.08;
2022.08.10 03:00:00;Buy;0.04;USDJPY.i;135.209;134.968;143.715;2022.08.10 06:43:40;134.970;-0.28;;-7.08;[sl]
2022.08.10 03:00:00;Buy;0.04;USDJPY.i;135.209;134.968;143.715;2022.08.10 06:43:40;134.970;-0.28;;-7.08;[sl]
2022.08.10 04:57:52;Balance;;;;;;;;;;0.32;
2022.08.10 04:57:52;Balance;;;;;;;;;;0.32;
2022.08.10 03:00:00;Buy;0.16;USDJPY.i;135.209;135.097;136.054;2022.08.10 04:57:52;135.097;-1.12;;-13.26;[sl]
2022.08.10 03:00:00;Buy;0.16;USDJPY.i;135.209;135.097;136.054;2022.08.10 04:57:52;135.097;-1.12;;-13.26;[sl]
2022.08.09 01:01:02;Sell Stop;0.07;USDJPY.i;134.359;134.594;132.402;2022.08.09 22:00:01;135.172;;;;cancelled
2022.08.09 01:01:01;Buy Stop;0.07;USDJPY.i;135.582;135.347;137.539;2022.08.09 22:00:01;135.173;;;;cancelled
2022.08.09 01:01:01;Sell Stop;0.07;USDJPY.i;134.359;134.594;132.402;2022.08.09 22:00:00;135.172;;;;cancelled
2022.08.09 01:01:00;Buy Stop;0.07;USDJPY.i;135.582;135.347;137.539;2022.08.09 22:00:00;135.172;;;;cancelled
2022.08.09 00:27:14;Sell Stop;0.03;USDJPY.i;134.359;134.655;114.791;2022.08.09 20:59:03;135.082;;;;cancelled
2022.08.09 00:27:12;Buy Stop;0.03;USDJPY.i;135.194;134.889;148.554;2022.08.09 20:59:03;135.082;;;;cancelled
2022.08.09 00:27:10;Sell Stop;0.03;USDJPY.i;134.359;134.655;114.791;2022.08.09 20:59:03;135.082;;;;cancelled
2022.08.09 00:27:08;Buy Stop;0.03;USDJPY.i;135.194;134.889;148.554;2022.08.09 20:59:03;135.082;;;;cancelled
2022.08.09 00:27:06;Sell Stop;0.03;USDJPY.i;134.359;134.655;114.791;2022.08.09 20:59:02;135.082;;;;cancelled
2022.08.09 00:27:04;Buy Stop;0.03;USDJPY.i;135.582;135.286;155.150;2022.08.09 20:59:02;135.082;;;;cancelled
2022.08.09 00:25:38;Sell Stop;0.03;USDJPY.i;134.359;134.655;114.791;2022.08.09 20:59:02;135.082;;;;cancelled
2022.08.09 00:25:35;Buy Stop;0.03;USDJPY.i;135.582;135.286;155.150;2022.08.09 20:59:02;135.082;;;;cancelled
2022.08.08 16:51:11;Buy Stop;0.05;USDJPY.i;135.582;135.282;140.475;2022.08.08 22:00:00;134.865;;;;cancelled
2022.08.08 01:01:02;Sell Stop;0.06;USDJPY.i;132.524;132.786;127.767;2022.08.08 22:00:00;134.865;;;;cancelled
2022.08.08 01:01:01;Sell Stop;0.06;USDJPY.i;132.524;132.786;127.767;2022.08.08 22:00:00;134.862;;;;cancelled
2022.08.08 04:01:10;Buy Stop;0.03;USDJPY.i;135.582;135.252;184.510;2022.08.08 20:59:01;134.717;;;;cancelled
2022.08.08 00:10:05;Sell Stop;0.03;USDJPY.i;134.359;134.702;114.791;2022.08.08 20:59:01;134.717;;;;cancelled
2022.08.08 04:01:09;Buy Stop;0.03;USDJPY.i;135.582;135.252;184.510;2022.08.08 20:59:00;134.718;;;;cancelled
2022.08.08 00:10:04;Sell Stop;0.03;USDJPY.i;134.359;134.702;114.791;2022.08.08 20:59:00;134.717;;;;cancelled
2022.08.08 00:10:03;Sell Stop;0.03;USDJPY.i;132.524;132.836;84.956;2022.08.08 20:59:00;134.718;;;;cancelled
2022.08.08 00:10:02;Sell Stop;0.03;USDJPY.i;132.524;132.836;84.956;2022.08.08 20:59:00;134.717;;;;cancelled
2022.08.08 04:01:09;Balance;;;;;;;;;;0.06;
2022.08.08 04:01:09;Balance;;;;;;;;;;0.06;
2022.08.08 03:28:32;Buy;0.03;USDJPY.i;135.497;135.185;183.065;2022.08.08 04:01:09;135.177;-0.21;;-7.10;[sl]
2022.08.08 03:28:32;Buy;0.03;USDJPY.i;135.498;135.185;183.065;2022.08.08 04:01:09;135.176;-0.21;;-7.15;[sl]
2022.08.05 22:00:01;Balance;;;;;;;;;;0.14;
