,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1487129,393,300 (76.33%),93 (23.66%),58.09 USD,-138.89 USD,"2 337.12 USD
 (29 157 pips)","-827.26 USD
 (11 578 pips)",23 (223.76 USD),223.76 USD (23),0.38,8.24%,16.06%,23 hours ago,6.0,8 hours,6.71,200 (50.89%),193 (49.11%),2.83,3.84 USD,7.79 USD,-8.90 USD,4 (-20.80 USD),-223.83 USD (2),25.26%,306.53%,0%,0.42 USD,224.95 USD (15.79%),21.74% (224.88 USD),28.01% (232.68 USD)
0,1214100,450,311 (69.11%),139 (30.89%),388.40 USD,-280.60 USD,"13 183.09 USD
 (150 035 pips)","-5 122.88 USD
 (85 374 pips)",39 (283.88 USD),974.80 USD (9),0.25,63.76%,9.29%,16 hours ago,6.0,4 days,12.92,215 (47.78%),235 (52.22%),2.57,17.91 USD,42.39 USD,-36.86 USD,10 (-61.07 USD),-560.03 USD (7),16.46%,199.70%,0%,0.00 USD,623.71 USD (11.19%),11.19% (623.71 USD),34.97% (355.56 USD)
0,1368342,711,529 (74.40%),182 (25.60%),381.41 USD,-190.64 USD,"10 528.32 USD
 (636 983 pips)","-3 940.88 USD
 (88 931 pips)",95 (524.98 USD),692.77 USD (4),0.21,74.43%,8.84%,26 minutes ago,33.0,2 days,8.56,354 (49.79%),357 (50.21%),2.67,9.27 USD,19.90 USD,-21.65 USD,12 (-240.91 USD),-748.81 USD (8),3.46%,41.94%,91%,0.10 USD,769.15 USD (12.20%),6.04% (769.15 USD),23.81% (2 861.97 USD)
0,843451,848,600 (70.75%),248 (29.25%),254.65 AUD,-81.42 AUD,"4 472.26 AUD
 (25 305 pips)","-2 421.43 AUD
 (11 087 pips)",17 (12.66 AUD),475.66 AUD (5),0.13,6.43%,11.46%,10 hours ago,9.0,7 hours,10.15,387 (45.64%),461 (54.36%),1.85,2.42 AUD,7.45 AUD,-9.76 AUD,7 (-116.47 AUD),-169.93 AUD (4),8.55%,103.76%,100%,74.21 AUD,202.03 AUD (12.26%),26.58% (146.20 AUD),9.10% (54.92 AUD)
0,798045,6 060,5 252 (86.66%),808 (13.33%),513.73 USD,-501.06 USD,"27 682.90 USD
 (691 317 pips)","-11 972.08 USD
 (478 902 pips)",64 (43.92 USD),2 276.13 USD (46),0.1,90.16%,14.36%,1 hour ago,20.0,1 day,28.3,3 488 (57.56%),2 572 (42.44%),2.31,2.59 USD,5.27 USD,-14.82 USD,23 (-430.39 USD),-513.36 USD (2),3.67%,44.52%,96%,11.15 USD,555.13 USD (3.45%),16.49% (517.87 USD),34.09% (3 401.59 USD)
0,1559274,198,167 (84.34%),31 (15.66%),62.88 USD,-21.25 USD,"547.62 USD
 (32 873 pips)","-181.06 USD
 (16 191 pips)",17 (28.63 USD),83.01 USD (10),0.21,19.42%,13.17%,2 hours ago,14.0,4 hours,10.08,97 (48.99%),101 (51.01%),3.02,1.85 USD,3.28 USD,-5.84 USD,2 (-36.37 USD),-36.37 USD (2),44.31%,537.65%,100%,1.54 USD,36.37 USD (13.62%),17.63% (36.37 USD),25.77% (51.95 USD)
0,1526229,1 506,1 192 (79.15%),314 (20.85%),30.11 USD,-129.48 USD,"7 053.76 USD
 (162 523 pips)","-3 725.79 USD
 (74 679 pips)",77 (216.17 USD),823.58 USD (60),0.23,50.20%,20.59%,7 minutes ago,54.0,4 hours,9.28,765 (50.80%),741 (49.20%),1.89,2.21 USD,5.92 USD,-11.87 USD,14 (-335.69 USD),-354.33 USD (7),-5.93%,-71.93%,100%,27.71 USD,358.70 USD (8.84%),25.39% (165.63 USD),29.64% (723.27 USD)
0,1334849,317,236 (74.44%),81 (25.55%),44.96 USD,-11.78 USD,"730.22 USD
 (41 533 pips)","-259.87 USD
 (22 079 pips)",19 (33.10 USD),64.02 USD (12),0.24,32.40%,45.21%,7 minutes ago,16.0,6 hours,21.08,45 (14.20%),272 (85.80%),2.81,1.48 USD,3.09 USD,-3.21 USD,3 (-8.54 USD),-22.31 USD (2),54.14%,656.92%,100%,0.00 USD,22.31 USD (8.48%),10.01% (20.64 USD),46.62% (96.14 USD)
0,802199,6 282,4 811 (76.58%),1 471 (23.42%),4 265.98 EUR,-2 265.51 EUR,"191 362.45 EUR
 (1 230 783 pips)","-73 640.21 EUR
 (786 761 pips)",156 (6 324.66 EUR),9 308.15 EUR (21),0.21,98.74%,100.00%,6 hours ago,98.0,3 days,10.32,2 366 (37.66%),3 916 (62.34%),2.6,18.74 EUR,39.78 EUR,-50.06 EUR,80 (-11 384.09 EUR),-11 384.09 EUR (80),6.61%,80.61%,90%,0.00 EUR,11 409.53 EUR (19.25%),9.56% (11 409.53 EUR),47.46% (45 827.69 EUR)
0,790719,1 163,895 (76.95%),268 (23.04%),374.55 USD,-110.70 USD,"12 653.72 USD
 (227 110 pips)","-3 960.11 USD
 (82 465 pips)",35 (1 299.91 USD),1 299.91 USD (35),0.28,51.38%,61.18%,2 days ago,15.0,2 days,23.22,584 (50.21%),579 (49.79%),3.2,7.48 USD,14.14 USD,-14.78 USD,10 (-21.89 USD),-374.39 USD (4),3.06%,37.13%,98%,0.24 USD,374.39 USD (11.67%),6.97% (377.75 USD),48.35% (322.57 USD)
