,symbol,ordertype,openorder_time,openorder_price,openorder_volume,openorder_commission,closeorder_time,closeorder_price,closeorder_volume,closeorder_commission,takeprofit,stopLoss,profit,swap,balance,openTradeDetails,openClosestrategies,type,id,dfoentity_id,pip_value,volatility,drawDown
0,,None,2022-05-12T14:38:24,0.0,0.0,0,2022-05-12T14:38:24,0.0,0.0,0,0.0,0.0,25000.0,0.0,0,,,,11975,148,0.0,,
1,EURUSD,Long,2022-05-12T14:38:24,1.04306,0.01,0,2022-05-12T14:40:11,1.04339,0.01,0,1.04419,1.0387,0.33,0.0,0,,,,11575,148,1.04273,,
2,EURJPY,Short,2022-05-13T11:13:19,133.974,0.01,0,2022-05-13T11:13:23,134.01,0.01,0,133.93,134.01,-0.28,0.0,0,,,,11578,148,0.007764723445547512,,
3,USDCAD,Long,2022-05-13T11:17:32,1.30123,0.01,0,2022-05-13T11:31:05,1.3014,0.01,0,1.30139,1.30042,0.13,0.0,0,,,,11579,148,0.7687281392935388,,
4,EURJPY,Long,2022-05-13T13:06:47,134.104,0.05,0,2022-05-13T13:13:29,133.99,0.05,0,134.329,133.99,-4.42,0.0,0,,,,11580,148,0.007748598186590313,,
5,CADJPY,Long,2022-05-13T13:14:39,99.211,0.04,0,2022-05-13T13:59:14,99.238,0.04,0,99.238,98.993,0.84,0.0,0,,,,11581,148,0.0077602554804614,,
6,USDJPY,Long,2022-05-13T15:59:34,129.398,0.05,0,2022-05-13T16:00:04,129.203,0.05,0,129.453,129.222,-7.55,0.0,0,,,,11582,148,0.007730663677476712,,
7,USDCAD,Long,2022-05-13T16:05:54,1.29615,0.05,0,2022-05-13T16:14:44,1.2944,0.05,0,1.29745,1.2944,-6.76,0.0,0,,,,11583,148,0.7714858818083629,,
8,EURUSD,Short,2022-05-13T16:13:17,1.03693,0.05,0,2022-05-13T16:36:07,1.03904,0.05,0,1.03504,1.03904,-10.55,0.0,0,,,,11584,148,1.03706,,
9,GBPUSD,Long,2022-05-12T15:21:05,1.22378,0.01,0,2022-05-13T18:13:45,1.22475,0.01,0,1.22474,1.21,0.97,-0.02,0,,,,11577,148,1.22344,,
10,USDJPY,Long,2022-05-16T07:40:48,128.961,0.05,0,2022-05-16T07:53:22,128.99,0.05,0,128.99,0.0,1.12,0.0,0,,,,11587,148,0.007756387385011557,,
11,USDJPY,Long,2022-05-16T07:55:16,129.001,0.1,0,2022-05-16T07:58:23,129.01,0.1,0,129.01,0.0,0.7,0.0,0,,,,11589,148,0.007752779371404649,,
12,USDCAD,Long,2022-05-16T07:29:35,1.29699,0.05,0,2022-05-16T08:13:08,1.29712,0.05,0,1.2971,0.0,0.5,0.0,0,,,,11586,148,0.7712538273471182,,
13,EURCHF,Long,2022-05-16T07:25:43,1.04347,0.05,0,2022-05-16T08:25:41,1.04361,0.05,0,1.04361,0.0,0.7,0.0,0,,,,11585,148,0.997210720036807,,
14,USDCAD,Long,2022-05-16T08:57:55,1.29621,1.0,0,2022-05-16T09:11:25,1.29659,1.0,0,1.2972,0.0,29.31,0.0,0,,,,11591,148,0.7716644802839725,,
15,EURCHF,Long,2022-05-16T08:54:28,1.04364,1.0,0,2022-05-16T09:22:35,1.04401,1.0,0,1.044,0.0,36.87,0.0,0,,,,11590,148,0.9968367474094878,,
16,USDCAD,Short,2022-05-16T07:47:15,1.29549,0.05,0,2022-05-16T09:26:58,1.2952,0.05,0,1.2952,0.0,1.12,0.0,0,,,,11588,148,0.7719146571155093,,
17,USDJPY,Long,2022-05-16T09:40:58,129.225,1.0,0,2022-05-16T09:49:15,129.285,1.0,0,129.311,0.0,46.41,0.0,0,,,,11592,148,0.007740956627420017,,
18,EURUSD,Long,2022-05-12T15:18:11,1.04176,0.01,0,2022-05-16T10:40:01,1.04271,0.01,0,1.0427,0.0,0.95,-0.12,0,,,,11576,148,1.04146,,
19,CADCHF,Long,2022-05-17T08:19:35,0.78072,1.0,0,2022-05-17T08:22:38,0.78081,1.0,0,0.7808,0.0,8.99,0.0,0,,,,11593,148,0.9994996616637674,,
20,USDCAD,Long,2022-05-17T08:22:42,1.282,1.0,0,2022-05-17T08:55:35,1.28249,1.0,0,1.283,0.0,38.21,0.0,0,,,,11594,148,0.7800616248683646,,
21,GBPUSD,Long,2022-05-17T08:41:36,1.2387,1.0,0,2022-05-17T09:06:20,1.23876,1.0,0,1.2389,0.0,6.0,0.0,0,,,,11597,148,1.23866,,
22,EURUSD,Long,2022-05-17T09:05:09,1.04626,1.0,0,2022-05-17T09:09:27,1.04687,1.0,0,1.04686,0.0,61.0,0.0,0,,,,11599,148,1.04594,,
23,GBPUSD,Long,2022-05-17T09:11:46,1.24083,1.0,0,2022-05-17T09:30:15,1.241,1.0,0,1.241,0.0,17.0,0.0,0,,,,11601,148,1.24039,,
24,USDCHF,Short,2022-05-17T09:56:13,0.99864,1.0,0,2022-05-17T09:59:17,0.99857,1.0,0,0.99858,0.0,7.01,0.0,0,,,,11602,148,1.001341798009332,,
25,CADCHF,Short,2022-05-17T09:57:40,0.77845,1.0,0,2022-05-17T10:06:17,0.7778,1.0,0,0.7778,0.0,65.23,0.0,0,,,,11603,148,1.001863440552095,,
26,GBPUSD,Long,2022-05-17T10:02:20,1.24259,2.0,0,2022-05-17T10:06:17,1.2436,2.0,0,1.2436,0.0,202.0,0.0,0,,,,11605,148,1.24213,,
27,EURGBP,Short,2022-05-17T10:03:10,0.84163,1.0,0,2022-05-17T10:11:13,0.84058,1.0,0,0.8406,0.0,130.76,0.0,0,,,,11606,148,1.242867836646428,,
28,GBPUSD,Long,2022-05-17T10:09:18,1.24404,1.0,0,2022-05-17T10:11:13,1.24513,1.0,0,1.2451,0.0,109.0,0.0,0,,,,11607,148,1.24397,,
29,GBPUSD,Long,2022-05-17T10:10:38,1.2447,2.0,0,2022-05-17T10:11:13,1.24513,2.0,0,1.2451,0.0,86.0,0.0,0,,,,11608,148,1.24458,,
