Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2022.08.11 23:21:56;Sell;0.35;EURUSD;1.03251;2022.08.11 23:58:36;1.0321;-1.92;;20.19
2022.08.09 23:22:38;Sell;0.34;EURUSD;1.0214;2022.08.10 01:45:09;1.02115;-1.88;2.81;12.21
2022.08.09 23:35:31;Sell;0.34;GBPUSD;1.20762;2022.08.10 00:22:02;1.20779;-1.88;0.65;-8.31
2022.08.09 00:19:57;Sell;0.34;GBPUSD;1.20808;2022.08.09 00:38:26;1.20799;-1.88;;4.38
2022.08.08 23:36:20;Sell;0.34;EURUSD;1.01952;2022.08.09 00:22:03;1.01947;-1.88;2.8;2.44
2022.08.05 23:19:17;Sell;0.33;GBPUSD;1.2074;2022.08.08 01:00:00;1.20699;-1.82;0.63;19.59
2022.08.05 23:16:35;Sell;0.33;EURUSD;1.01833;2022.08.05 23:52:51;1.01782;-1.82;;24.35
2022.08.05 22:45:37;Sell;0.33;EURUSD;1.01832;2022.08.05 23:02:49;1.01773;-1.82;;28.16
2022.08.05 22:00:00;Buy;0.32;GBPUSD;1.20643;2022.08.05 22:39:41;1.20735;-1.76;;42.58
2022.08.05 22:07:21;Buy;0.32;EURUSD;1.01748;2022.08.05 22:15:08;1.01833;-1.76;;39.34
2022.08.04 23:58:40;Buy;0.32;GBPUSD;1.21569;2022.08.05 01:50:02;1.21581;-1.76;-1.5;5.51
2022.08.03 23:00:55;Sell;0.31;EURUSD;1.01707;2022.08.04 01:08:00;1.01668;-1.7;8.23;17.4
2022.08.02 23:02:29;Buy;0.31;GBPUSD;1.21673;2022.08.03 01:09:39;1.21649;-1.7;-1.77;-10.75
2022.08.01 23:06:29;Sell;0.32;EURUSD;1.02601;2022.08.02 02:48:39;1.02621;-1.76;2.8;-9.11
2022.07.29 22:00:01;Sell;0.32;EURUSD;1.02199;2022.08.01 01:07:27;1.02166;-1.76;2.81;15.13
2022.07.29 22:00:00;Sell;0.32;GBPUSD;1.21747;2022.08.01 01:06:49;1.21722;-1.76;0.58;11.46
2022.07.28 23:37:29;Sell;0.31;EURUSD;1.01947;2022.07.29 01:19:51;1.01928;-1.7;2.73;8.43
2022.07.28 23:23:18;Sell;0.31;GBPUSD;1.21757;2022.07.29 01:06:43;1.21728;-1.7;0.56;12.86
2022.07.28 00:09:54;Buy;0.31;GBPUSD;1.21549;2022.07.28 01:00:20;1.21581;-1.7;;14.18
2022.07.26 23:46:17;Sell;0.31;GBPUSD;1.20336;2022.07.27 04:04:54;1.2042;-1.7;-0.74;-37.46
2022.07.26 23:00:00;Buy;0.31;GBPUSD;1.20221;2022.07.26 23:25:37;1.20314;-1.7;;41.56
2022.07.25 23:58:47;Buy;0.31;EURUSD;1.02213;2022.07.26 01:15:00;1.02216;-1.7;-3.13;1.34
2022.07.25 23:58:30;Buy;0.31;GBPUSD;1.20492;2022.07.26 00:36:40;1.2047;-1.7;-1.3599999999999999;-9.8
2022.07.25 23:02:00;Sell;0.31;EURUSD;1.02267;2022.07.25 23:47:49;1.02228;-1.7;;17.37
2022.07.22 23:20:48;Sell;0.31;GBPUSD;1.19953;2022.07.25 01:37:18;1.19986;-1.7;-0.74;-14.79
2022.07.22 23:28:07;Sell;0.31;EURUSD;1.02104;2022.07.25 01:03:46;1.02133;-1.7;1.8599999999999999;-12.99
2022.07.21 23:00:00;Sell;0.32;GBPUSD;1.19794;2022.07.22 01:32:02;1.19932;-1.76;-0.89;-63.73
2022.07.21 23:30:00;Sell;0.32;EURUSD;1.02215;2022.07.22 01:30:00;1.02244;-1.76;1.8199999999999998;-13.39
2022.07.21 23:15:00;Sell;0.32;EURUSD;1.02146;2022.07.21 23:18:28;1.0211;-1.76;;16.65
2022.07.21 23:00:00;Sell;0.32;EURUSD;1.02109;2022.07.21 23:03:29;1.02076;-1.76;;15.26
2022.07.20 00:54:36;Sell;0.32;EURUSD;1.0226;2022.07.20 01:00:02;1.02293;-1.76;;-15.31
2022.07.19 23:00:00;Buy;0.32;EURUSD;1.02221;2022.07.19 23:02:27;1.02257;-1.76;;16.7
2022.07.19 00:45:56;Sell;0.31;EURUSD;1.01457;2022.07.19 01:19:32;1.01455;-1.7;;0.91
2022.07.18 23:10:09;Buy;0.31;EURUSD;1.01432;2022.07.19 00:42:39;1.01463;-1.7;-3.07;14.1
2022.07.15 22:56:10;Sell;0.32;EURUSD;1.00818;2022.07.18 01:03:26;1.00832;-1.76;1.8599999999999999;-6.59
2022.07.15 22:56:06;Sell;0.32;GBPUSD;1.1861;2022.07.18 01:02:19;1.18692;-1.76;-0.9;-38.61
2022.07.15 22:02:52;Buy;0.32;EURUSD;1.00753;2022.07.15 22:54:40;1.00785;-1.76;;15.08
2022.07.12 23:00:00;Buy;0.31;EURUSD;1.00336;2022.07.12 23:00:13;1.00367;-1.7;;14.22
2022.07.11 00:50:33;Sell;0.31;GBPUSD;1.20346;2022.07.11 01:53:24;1.20244;-1.7;;46.18
