,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Best trade,Maximum consecutive wins,Maximal consecutive profit,Worst trade,Maximum consecutive losses,Maximal consecutive loss,Absolute,Maximal,By Balance,By Equity
0,1487129,373,283 (75.87%),90 (24.13%),58.09 USD,-138.89 USD,"2 087.32 USD
 (27 264 pips)","-778.78 USD
 (11 275 pips)",23 (223.76 USD),223.76 USD (23),0.37,8.24%,16.06%,21 hours ago,5,8 hours,5.82,188 (50.40%),185 (49.60%),2.68,3.51 USD,7.38 USD,-8.65 USD,4 (-20.80 USD),-223.83 USD (2),28.09%,340.77%,0%,58.09 USD,23 (223.76 USD),223.76 USD (23),-138.89 USD,4 (-20.80 USD),-223.83 USD (2),0.42 USD,224.95 USD (15.79%),21.74% (224.88 USD),28.01% (232.68 USD)
1,1214100,430,295 (68.60%),135 (31.40%),388.40 USD,-280.60 USD,"12 937.73 USD
 (140 609 pips)","-5 043.62 USD
 (83 077 pips)",39 (283.88 USD),974.80 USD (9),0.25,64.86%,6.34%,2 days ago,9,4 days,12.66,199 (46.28%),231 (53.72%),2.57,18.36 USD,43.86 USD,-37.36 USD,10 (-61.07 USD),-560.03 USD (7),12.24%,148.55%,0%,388.40 USD,39 (283.88 USD),974.80 USD (9),-280.60 USD,10 (-61.07 USD),-560.03 USD (7),0.00 USD,623.71 USD (11.19%),11.19% (623.71 USD),34.97% (355.56 USD)
2,1322004,986,547 (55.47%),439 (44.52%),141.80 USD,-62.00 USD,"2 940.50 USD
 (205 841 pips)","-1 638.14 USD
 (107 942 pips)",31 (456.45 USD),456.45 USD (31),0.16,76.53%,21.52%,2 days ago,28,22 hours,4.77,527 (53.45%),459 (46.55%),1.8,1.32 USD,5.38 USD,-3.73 USD,14 (-108.92 USD),-174.82 USD (8),-24.10%,-100.00%,0%,141.80 USD,31 (456.45 USD),456.45 USD (31),-62.00 USD,14 (-108.92 USD),-174.82 USD (8),0.00 USD,273.10 USD (13.28%),43.47% (273.10 USD),25.35% (151.95 USD)
3,1368342,634,471 (74.29%),163 (25.71%),381.41 USD,-190.64 USD,"9 602.47 USD
 (620 571 pips)","-3 259.32 USD
 (81 176 pips)",95 (524.98 USD),692.77 USD (4),0.23,70.40%,8.84%,15 hours ago,30,2 days,8.25,321 (50.63%),313 (49.37%),2.95,10.00 USD,20.39 USD,-20.00 USD,12 (-240.91 USD),-748.81 USD (8),21.33%,258.79%,90%,381.41 USD,95 (524.98 USD),692.77 USD (4),-190.64 USD,12 (-240.91 USD),-748.81 USD (8),0.10 USD,769.15 USD (12.20%),6.04% (769.15 USD),23.81% (2 861.97 USD)
4,1334830,1 126,571 (50.71%),555 (49.29%),4 681.17 USD,-903.29 USD,"52 625.57 USD
 (4 331 928 pips)","-37 417.16 USD
 (2 849 689 pips)",15 (739.35 USD),4 989.27 USD (6),0.1,82.29%,95.99%,8 minutes ago,50,8 hours,3.83,269 (23.89%),857 (76.11%),1.41,13.51 USD,92.16 USD,-67.42 USD,15 (-3 969.74 USD),-3 969.74 USD (15),8.38%,101.63%,0%,4 681.17 USD,15 (739.35 USD),4 989.27 USD (6),-903.29 USD,15 (-3 969.74 USD),-3 969.74 USD (15),6.20 USD,3 969.74 USD (35.96%),33.13% (3 969.74 USD),25.75% (2 048.89 USD)
5,843451,811,575 (70.90%),236 (29.10%),254.65 AUD,-81.42 AUD,"4 005.11 AUD
 (24 308 pips)","-2 181.53 AUD
 (10 676 pips)",17 (12.66 AUD),475.66 AUD (5),0.13,6.43%,11.46%,1 day ago,7,7 hours,9.03,375 (46.24%),436 (53.76%),1.84,2.25 AUD,6.97 AUD,-9.24 AUD,7 (-116.47 AUD),-169.93 AUD (4),17.16%,208.18%,100%,254.65 AUD,17 (12.66 AUD),475.66 AUD (5),-81.42 AUD,7 (-116.47 AUD),-169.93 AUD (4),74.21 AUD,202.03 AUD (12.26%),26.58% (146.20 AUD),9.10% (54.92 AUD)
6,798045,5 998,5 212 (86.89%),786 (13.10%),513.73 USD,-501.06 USD,"27 179.24 USD
 (674 765 pips)","-11 771.29 USD
 (469 853 pips)",64 (43.92 USD),2 276.13 USD (46),0.1,91.17%,14.36%,10 hours ago,48,1 day,27.76,3 452 (57.55%),2 546 (42.45%),2.31,2.57 USD,5.21 USD,-14.98 USD,23 (-430.39 USD),-513.36 USD (2),8.94%,108.53%,96%,513.73 USD,64 (43.92 USD),2 276.13 USD (46),-501.06 USD,23 (-430.39 USD),-513.36 USD (2),11.15 USD,555.13 USD (3.45%),16.49% (517.87 USD),34.09% (3 401.59 USD)
7,1559274,158,133 (84.17%),25 (15.82%),62.88 USD,-21.25 USD,"457.61 USD
 (26 206 pips)","-158.34 USD
 (13 931 pips)",17 (28.63 USD),83.01 USD (10),0.21,16.43%,13.17%,12 hours ago,8,4 hours,8.23,69 (43.67%),89 (56.33%),2.89,1.89 USD,3.44 USD,-6.33 USD,2 (-36.37 USD),-36.37 USD (2),41.69%,505.83%,100%,62.88 USD,17 (28.63 USD),83.01 USD (10),-21.25 USD,2 (-36.37 USD),-36.37 USD (2),1.54 USD,36.37 USD (13.62%),17.63% (36.37 USD),25.77% (51.95 USD)
8,790719,1 145,883 (77.11%),262 (22.88%),374.55 USD,-110.70 USD,"12 224.32 USD
 (224 803 pips)","-3 819.18 USD
 (81 503 pips)",35 (1 299.91 USD),1 299.91 USD (35),0.28,52.56%,61.18%,2 days ago,1,2 days,22.45,582 (50.83%),563 (49.17%),3.2,7.34 USD,13.84 USD,-14.58 USD,10 (-21.89 USD),-374.39 USD (4),15.73%,190.85%,98%,374.55 USD,35 (1 299.91 USD),1 299.91 USD (35),-110.70 USD,10 (-21.89 USD),-374.39 USD (4),0.24 USD,374.39 USD (11.67%),6.97% (377.75 USD),48.35% (322.57 USD)
9,1431540,372,222 (59.67%),150 (40.32%),43.03 USD,-32.48 USD,"2 076.23 USD
 (119 481 pips)","-1 026.43 USD
 (42 753 pips)",17 (58.49 USD),141.92 USD (13),0.3,53.77%,5.33%,12 hours ago,21,12 hours,5.11,129 (34.68%),243 (65.32%),2.02,2.82 USD,9.35 USD,-6.84 USD,7 (-78.45 USD),-90.87 USD (4),1.00%,12.14%,0%,43.03 USD,17 (58.49 USD),141.92 USD (13),-32.48 USD,7 (-78.45 USD),-90.87 USD (4),2.77 USD,205.62 USD (12.55%),12.55% (205.51 USD),37.00% (245.11 USD)
